Name	Level_1	Level_2_1	Level_2_2	Level_2_3	Level_2_4
B&M Val	Brick & Mortar / Online	Brick & Mortar	Amount Metrics	Current Period	Current Period (Amount)
B&M Val % Mkt Shr	Brick & Mortar / Online	Brick & Mortar	Amount Metrics	Current Period	Current Period (Amount)
B&M Val Comp	Brick & Mortar / Online	Brick & Mortar	Amount Metrics	Current Period	Current Period (Amount)
B&M Val Comp Contrib %	Brick & Mortar / Online	Brick & Mortar	Amount Metrics	Current Period	Current Period (Amount)
B&M Val Contrib %	Brick & Mortar / Online	Brick & Mortar	Amount Metrics	Current Period	Current Period (Amount)
B&M Val Mkt	Brick & Mortar / Online	Brick & Mortar	Amount Metrics	Current Period	Current Period (Amount)
B&M Val Mkt Contrib %	Brick & Mortar / Online	Brick & Mortar	Amount Metrics	Current Period	Current Period (Amount)
B&M Val PI	Brick & Mortar / Online	Brick & Mortar	Amount Metrics	Current Period	Current Period (Amount)
B&M Val Prod	Brick & Mortar / Online	Brick & Mortar	Amount Metrics	Current Period	Current Period (Amount)
B&M Val Prod Contrib %	Brick & Mortar / Online	Brick & Mortar	Amount Metrics	Current Period	Current Period (Amount)
Baseline Val	Baseline /Incremental / Lost	Baseline	Amount Metrics	Current Period	Current Period (Amount)
Baseline Val % Mkt Shr	Baseline /Incremental / Lost	Baseline	Amount Metrics	Current Period	Current Period (Amount)
Baseline Val Comp	Baseline /Incremental / Lost	Baseline	Amount Metrics	Current Period	Current Period (Amount)
Baseline Val Comp Contrib %	Baseline /Incremental / Lost	Baseline	Amount Metrics	Current Period	Current Period (Amount)
Baseline Val Contrib %	Baseline /Incremental / Lost	Baseline	Amount Metrics	Current Period	Current Period (Amount)
Baseline Val Mkt	Baseline /Incremental / Lost	Baseline	Amount Metrics	Current Period	Current Period (Amount)
Baseline Val Mkt Contrib %	Baseline /Incremental / Lost	Baseline	Amount Metrics	Current Period	Current Period (Amount)
Baseline Val PI	Baseline /Incremental / Lost	Baseline	Amount Metrics	Current Period	Current Period (Amount)
Baseline Val Prod	Baseline /Incremental / Lost	Baseline	Amount Metrics	Current Period	Current Period (Amount)
Baseline Val Prod Contrib %	Baseline /Incremental / Lost	Baseline	Amount Metrics	Current Period	Current Period (Amount)
Domestic Val	Domestic / Export	Domestic	Amount Metrics	Current Period	Current Period (Amount)
Domestic Val % Mkt Shr	Domestic / Export	Domestic	Amount Metrics	Current Period	Current Period (Amount)
Domestic Val Comp	Domestic / Export	Domestic	Amount Metrics	Current Period	Current Period (Amount)
Domestic Val Comp Contrib %	Domestic / Export	Domestic	Amount Metrics	Current Period	Current Period (Amount)
Domestic Val Contrib %	Domestic / Export	Domestic	Amount Metrics	Current Period	Current Period (Amount)
Domestic Val Mkt	Domestic / Export	Domestic	Amount Metrics	Current Period	Current Period (Amount)
Domestic Val Mkt Contrib %	Domestic / Export	Domestic	Amount Metrics	Current Period	Current Period (Amount)
Domestic Val PI	Domestic / Export	Domestic	Amount Metrics	Current Period	Current Period (Amount)
Domestic Val Prod	Domestic / Export	Domestic	Amount Metrics	Current Period	Current Period (Amount)
Domestic Val Prod Contrib %	Domestic / Export	Domestic	Amount Metrics	Current Period	Current Period (Amount)
Export Val	Domestic / Export	Export	Amount Metrics	Current Period	Current Period (Amount)
Export Val % Mkt Shr	Domestic / Export	Export	Amount Metrics	Current Period	Current Period (Amount)
Export Val Comp	Domestic / Export	Export	Amount Metrics	Current Period	Current Period (Amount)
Export Val Comp Contrib %	Domestic / Export	Export	Amount Metrics	Current Period	Current Period (Amount)
Export Val Contrib %	Domestic / Export	Export	Amount Metrics	Current Period	Current Period (Amount)
Export Val Mkt	Domestic / Export	Export	Amount Metrics	Current Period	Current Period (Amount)
Export Val Mkt Contrib %	Domestic / Export	Export	Amount Metrics	Current Period	Current Period (Amount)
Export Val PI	Domestic / Export	Export	Amount Metrics	Current Period	Current Period (Amount)
Export Val Prod	Domestic / Export	Export	Amount Metrics	Current Period	Current Period (Amount)
Export Val Prod Contrib %	Domestic / Export	Export	Amount Metrics	Current Period	Current Period (Amount)
Grocery Val	Retail / Grocery	Grocery	Amount Metrics	Current Period	Current Period (Amount)
Grocery Val % Mkt Shr	Retail / Grocery	Grocery	Amount Metrics	Current Period	Current Period (Amount)
Grocery Val Comp	Retail / Grocery	Grocery	Amount Metrics	Current Period	Current Period (Amount)
Grocery Val Comp Contrib %	Retail / Grocery	Grocery	Amount Metrics	Current Period	Current Period (Amount)
Grocery Val Contrib %	Retail / Grocery	Grocery	Amount Metrics	Current Period	Current Period (Amount)
Grocery Val Mkt	Retail / Grocery	Grocery	Amount Metrics	Current Period	Current Period (Amount)
Grocery Val Mkt Contrib %	Retail / Grocery	Grocery	Amount Metrics	Current Period	Current Period (Amount)
Grocery Val PI	Retail / Grocery	Grocery	Amount Metrics	Current Period	Current Period (Amount)
Grocery Val Prod	Retail / Grocery	Grocery	Amount Metrics	Current Period	Current Period (Amount)
Grocery Val Prod Contrib %	Retail / Grocery	Grocery	Amount Metrics	Current Period	Current Period (Amount)
Incremental Val	Baseline /Incremental / Lost	Incremental	Amount Metrics	Current Period	Current Period (Amount)
Incremental Val % Mkt Shr	Baseline /Incremental / Lost	Incremental	Amount Metrics	Current Period	Current Period (Amount)
Incremental Val Comp	Baseline /Incremental / Lost	Incremental	Amount Metrics	Current Period	Current Period (Amount)
Incremental Val Comp Contrib %	Baseline /Incremental / Lost	Incremental	Amount Metrics	Current Period	Current Period (Amount)
Incremental Val Contrib %	Baseline /Incremental / Lost	Incremental	Amount Metrics	Current Period	Current Period (Amount)
Incremental Val Mkt	Baseline /Incremental / Lost	Incremental	Amount Metrics	Current Period	Current Period (Amount)
Incremental Val Mkt Contrib %	Baseline /Incremental / Lost	Incremental	Amount Metrics	Current Period	Current Period (Amount)
Incremental Val PI	Baseline /Incremental / Lost	Incremental	Amount Metrics	Current Period	Current Period (Amount)
Incremental Val Prod	Baseline /Incremental / Lost	Incremental	Amount Metrics	Current Period	Current Period (Amount)
Incremental Val Prod Contrib %	Baseline /Incremental / Lost	Incremental	Amount Metrics	Current Period	Current Period (Amount)
Lost Val	Baseline /Incremental / Lost	Lost	Amount Metrics	Current Period	Current Period (Amount)
Lost Val % Mkt Shr	Baseline /Incremental / Lost	Lost	Amount Metrics	Current Period	Current Period (Amount)
Lost Val Comp	Baseline /Incremental / Lost	Lost	Amount Metrics	Current Period	Current Period (Amount)
Lost Val Comp Contrib %	Baseline /Incremental / Lost	Lost	Amount Metrics	Current Period	Current Period (Amount)
Lost Val Contrib %	Baseline /Incremental / Lost	Lost	Amount Metrics	Current Period	Current Period (Amount)
Lost Val Mkt	Baseline /Incremental / Lost	Lost	Amount Metrics	Current Period	Current Period (Amount)
Lost Val Mkt Contrib %	Baseline /Incremental / Lost	Lost	Amount Metrics	Current Period	Current Period (Amount)
Lost Val PI	Baseline /Incremental / Lost	Lost	Amount Metrics	Current Period	Current Period (Amount)
Lost Val Prod	Baseline /Incremental / Lost	Lost	Amount Metrics	Current Period	Current Period (Amount)
Lost Val Prod Contrib %	Baseline /Incremental / Lost	Lost	Amount Metrics	Current Period	Current Period (Amount)
Non Promo Val	Promo / Non Promo	Non Promo	Amount Metrics	Current Period	Current Period (Amount)
Non Promo Val % Mkt Shr	Promo / Non Promo	Non Promo	Amount Metrics	Current Period	Current Period (Amount)
Non Promo Val Comp	Promo / Non Promo	Non Promo	Amount Metrics	Current Period	Current Period (Amount)
Non Promo Val Comp Contrib %	Promo / Non Promo	Non Promo	Amount Metrics	Current Period	Current Period (Amount)
Non Promo Val Contrib %	Promo / Non Promo	Non Promo	Amount Metrics	Current Period	Current Period (Amount)
Non Promo Val Mkt	Promo / Non Promo	Non Promo	Amount Metrics	Current Period	Current Period (Amount)
Non Promo Val Mkt Contrib %	Promo / Non Promo	Non Promo	Amount Metrics	Current Period	Current Period (Amount)
Non Promo Val PI	Promo / Non Promo	Non Promo	Amount Metrics	Current Period	Current Period (Amount)
Non Promo Val Prod	Promo / Non Promo	Non Promo	Amount Metrics	Current Period	Current Period (Amount)
Non Promo Val Prod Contrib %	Promo / Non Promo	Non Promo	Amount Metrics	Current Period	Current Period (Amount)
Num Selling Dist	Distribution Metrics	Store # / Distribution	Amount Metrics	Current Period	Current Period (Amount)
Online Val	Brick & Mortar / Online	Online	Amount Metrics	Current Period	Current Period (Amount)
Online Val % Mkt Shr	Brick & Mortar / Online	Online	Amount Metrics	Current Period	Current Period (Amount)
Online Val Comp	Brick & Mortar / Online	Online	Amount Metrics	Current Period	Current Period (Amount)
Online Val Comp Contrib %	Brick & Mortar / Online	Online	Amount Metrics	Current Period	Current Period (Amount)
Online Val Contrib %	Brick & Mortar / Online	Online	Amount Metrics	Current Period	Current Period (Amount)
Online Val Mkt	Brick & Mortar / Online	Online	Amount Metrics	Current Period	Current Period (Amount)
Online Val Mkt Contrib %	Brick & Mortar / Online	Online	Amount Metrics	Current Period	Current Period (Amount)
Online Val PI	Brick & Mortar / Online	Online	Amount Metrics	Current Period	Current Period (Amount)
Online Val Prod	Brick & Mortar / Online	Online	Amount Metrics	Current Period	Current Period (Amount)
Online Val Prod Contrib %	Brick & Mortar / Online	Online	Amount Metrics	Current Period	Current Period (Amount)
Val	Base Metrics	Amount Metrics	Amount Metrics	Current Period	Current Period (Amount)
Val % Mkt Shr	Base Metrics	Amount Metrics	Amount Metrics	Current Period	Current Period (Amount)
Val % Mkt Shr +/- LY	Base Metrics	Amount Metrics	Amount Metrics	Current Period	Current Period (Amount)
Val +/- LY	Base Metrics	Amount Metrics	Amount Metrics	Current Period	Current Period (Amount)
Val Comp	Base Metrics	Amount Metrics	Amount Metrics	Current Period	Current Period (Amount)
Val Comp +/- LY	Base Metrics	Amount Metrics	Amount Metrics	Current Period	Current Period (Amount)
Val Comp Contrib %	Base Metrics	Amount Metrics	Amount Metrics	Current Period	Current Period (Amount)
Val Contrib %	Base Metrics	Amount Metrics	Amount Metrics	Current Period	Current Period (Amount)
Val EI vs LY	Base Metrics	Amount Metrics	Amount Metrics	Current Period	Current Period (Amount)
Val EI vs PP	Base Metrics	Amount Metrics	Amount Metrics	Current Period	Current Period (Amount)
Promo Val	Promo / Non Promo	Promo	Amount Metrics	Current Period	Current Period (Amount)
Promo Val % Mkt Shr	Promo / Non Promo	Promo	Amount Metrics	Current Period	Current Period (Amount)
Promo Val Comp	Promo / Non Promo	Promo	Amount Metrics	Current Period	Current Period (Amount)
Promo Val Comp Contrib %	Promo / Non Promo	Promo	Amount Metrics	Current Period	Current Period (Amount)
Promo Val Contrib %	Promo / Non Promo	Promo	Amount Metrics	Current Period	Current Period (Amount)
Promo Val Mkt	Promo / Non Promo	Promo	Amount Metrics	Current Period	Current Period (Amount)
Promo Val Mkt Contrib %	Promo / Non Promo	Promo	Amount Metrics	Current Period	Current Period (Amount)
Promo Val PI	Promo / Non Promo	Promo	Amount Metrics	Current Period	Current Period (Amount)
Promo Val Prod	Promo / Non Promo	Promo	Amount Metrics	Current Period	Current Period (Amount)
Promo Val Prod Contrib %	Promo / Non Promo	Promo	Amount Metrics	Current Period	Current Period (Amount)
Ret/Gr Val Ratio	Retail / Grocery	Retail	Amount Metrics	Current Period	Current Period (Amount)
Retail Val	Retail / Grocery	Retail	Amount Metrics	Current Period	Current Period (Amount)
Retail Val % Mkt Shr	Retail / Grocery	Retail	Amount Metrics	Current Period	Current Period (Amount)
Retail Val Comp	Retail / Grocery	Retail	Amount Metrics	Current Period	Current Period (Amount)
Retail Val Comp Contrib %	Retail / Grocery	Retail	Amount Metrics	Current Period	Current Period (Amount)
Retail Val Contrib %	Retail / Grocery	Retail	Amount Metrics	Current Period	Current Period (Amount)
Retail Val Mkt	Retail / Grocery	Retail	Amount Metrics	Current Period	Current Period (Amount)
Retail Val Mkt Contrib %	Retail / Grocery	Retail	Amount Metrics	Current Period	Current Period (Amount)
Retail Val PI	Retail / Grocery	Retail	Amount Metrics	Current Period	Current Period (Amount)
Retail Val Prod	Retail / Grocery	Retail	Amount Metrics	Current Period	Current Period (Amount)
Retail Val Prod Contrib %	Retail / Grocery	Retail	Amount Metrics	Current Period	Current Period (Amount)
ROS Val	Distribution Metrics	Distribution Value Metrics	Amount Metrics	Current Period	Current Period (Amount)
Scanout Val	Scanout / Sellin	Scanout	Amount Metrics	Current Period	Current Period (Amount)
Scanout Val % Mkt Shr	Scanout / Sellin	Scanout	Amount Metrics	Current Period	Current Period (Amount)
Scanout Val Comp	Scanout / Sellin	Scanout	Amount Metrics	Current Period	Current Period (Amount)
Scanout Val Comp Contrib %	Scanout / Sellin	Scanout	Amount Metrics	Current Period	Current Period (Amount)
Scanout Val Contrib %	Scanout / Sellin	Scanout	Amount Metrics	Current Period	Current Period (Amount)
Scanout Val Mkt	Scanout / Sellin	Scanout	Amount Metrics	Current Period	Current Period (Amount)
Scanout Val Mkt Contrib %	Scanout / Sellin	Scanout	Amount Metrics	Current Period	Current Period (Amount)
Scanout Val PI	Scanout / Sellin	Scanout	Amount Metrics	Current Period	Current Period (Amount)
Scanout Val Prod	Scanout / Sellin	Scanout	Amount Metrics	Current Period	Current Period (Amount)
Scanout Val Prod Contrib %	Scanout / Sellin	Scanout	Amount Metrics	Current Period	Current Period (Amount)
Sellin Val	Scanout / Sellin	Sellin	Amount Metrics	Current Period	Current Period (Amount)
Sellin Val % Mkt Shr	Scanout / Sellin	Sellin	Amount Metrics	Current Period	Current Period (Amount)
Sellin Val Comp	Scanout / Sellin	Sellin	Amount Metrics	Current Period	Current Period (Amount)
Sellin Val Comp Contrib %	Scanout / Sellin	Sellin	Amount Metrics	Current Period	Current Period (Amount)
Sellin Val Contrib %	Scanout / Sellin	Sellin	Amount Metrics	Current Period	Current Period (Amount)
Sellin Val Mkt	Scanout / Sellin	Sellin	Amount Metrics	Current Period	Current Period (Amount)
Sellin Val Mkt Contrib %	Scanout / Sellin	Sellin	Amount Metrics	Current Period	Current Period (Amount)
Sellin Val PI	Scanout / Sellin	Sellin	Amount Metrics	Current Period	Current Period (Amount)
Sellin Val Prod	Scanout / Sellin	Sellin	Amount Metrics	Current Period	Current Period (Amount)
Sellin Val Prod Contrib %	Scanout / Sellin	Sellin	Amount Metrics	Current Period	Current Period (Amount)
SO/SI Val Ratio	Scanout / Sellin	Scanout	Amount Metrics	Current Period	Current Period (Amount)
Store # Dist	Distribution Metrics	Store # / Distribution	Amount Metrics	Current Period	Current Period (Amount)
Store # Total	Distribution Metrics	Store # / Distribution	Amount Metrics	Current Period	Current Period (Amount)
Val Dist	Distribution Metrics	Distribution Value Metrics	Amount Metrics	Current Period	Current Period (Amount)
Val Dist Prod	Distribution Metrics	Distribution Value Metrics	Amount Metrics	Current Period	Current Period (Amount)
Wtd Selling Dist	Distribution Metrics	Store # / Distribution	Amount Metrics	Current Period	Current Period (Amount)
Wtd/Num Dist Index	Distribution Metrics	Store # / Distribution	Amount Metrics	Current Period	Current Period (Amount)
Pack #	Pack Ranging Metrics	Base Metrics	Base Metrics	Current Period	Current Period
Pack # % Mkt Shr	Pack Ranging Metrics	Base Metrics	Base Metrics	Current Period	Current Period
Pack # Contrib %	Pack Ranging Metrics	Base Metrics	Base Metrics	Current Period	Current Period
Pack # PI	Pack Ranging Metrics	Base Metrics	Base Metrics	Current Period	Current Period
Pack # Comp	Pack Ranging Metrics	Own Product / Market	Own Product / Market	Current Period	Current Period
Pack # Comp Contrib %	Pack Ranging Metrics	Own Product / Market	Own Product / Market	Current Period	Current Period
Pack # Mkt	Pack Ranging Metrics	Own Product / Market	Own Product / Market	Current Period	Current Period
Pack # Mkt Contrib %	Pack Ranging Metrics	Own Product / Market	Own Product / Market	Current Period	Current Period
Pack # Prod	Pack Ranging Metrics	Own Product / Market	Own Product / Market	Current Period	Current Period
Pack # Prod Contrib %	Pack Ranging Metrics	Own Product / Market	Own Product / Market	Current Period	Current Period
B&M Price	Brick & Mortar / Online	Brick & Mortar	Price Metrics	Current Period	Current Period (Price)
B&M Price Comp	Brick & Mortar / Online	Brick & Mortar	Price Metrics	Current Period	Current Period (Price)
B&M Price Mkt	Brick & Mortar / Online	Brick & Mortar	Price Metrics	Current Period	Current Period (Price)
B&M Price Prod	Brick & Mortar / Online	Brick & Mortar	Price Metrics	Current Period	Current Period (Price)
Baseline Price	Baseline /Incremental / Lost	Baseline	Price Metrics	Current Period	Current Period (Price)
Baseline Price Comp	Baseline /Incremental / Lost	Baseline	Price Metrics	Current Period	Current Period (Price)
Baseline Price Mkt	Baseline /Incremental / Lost	Baseline	Price Metrics	Current Period	Current Period (Price)
Baseline Price Prod	Baseline /Incremental / Lost	Baseline	Price Metrics	Current Period	Current Period (Price)
Domestic Price	Domestic / Export	Domestic	Price Metrics	Current Period	Current Period (Price)
Domestic Price Comp	Domestic / Export	Domestic	Price Metrics	Current Period	Current Period (Price)
Domestic Price Mkt	Domestic / Export	Domestic	Price Metrics	Current Period	Current Period (Price)
Domestic Price Prod	Domestic / Export	Domestic	Price Metrics	Current Period	Current Period (Price)
Export Price	Domestic / Export	Export	Price Metrics	Current Period	Current Period (Price)
Export Price Comp	Domestic / Export	Export	Price Metrics	Current Period	Current Period (Price)
Export Price Mkt	Domestic / Export	Export	Price Metrics	Current Period	Current Period (Price)
Export Price Prod	Domestic / Export	Export	Price Metrics	Current Period	Current Period (Price)
Grocery Price	Retail / Grocery	Grocery	Price Metrics	Current Period	Current Period (Price)
Grocery Price Comp	Retail / Grocery	Grocery	Price Metrics	Current Period	Current Period (Price)
Grocery Price Mkt	Retail / Grocery	Grocery	Price Metrics	Current Period	Current Period (Price)
Grocery Price Prod	Retail / Grocery	Grocery	Price Metrics	Current Period	Current Period (Price)
Incremental Price	Baseline /Incremental / Lost	Incremental	Price Metrics	Current Period	Current Period (Price)
Incremental Price Comp	Baseline /Incremental / Lost	Incremental	Price Metrics	Current Period	Current Period (Price)
Incremental Price Mkt	Baseline /Incremental / Lost	Incremental	Price Metrics	Current Period	Current Period (Price)
Incremental Price Prod	Baseline /Incremental / Lost	Incremental	Price Metrics	Current Period	Current Period (Price)
Lost Price	Baseline /Incremental / Lost	Lost	Price Metrics	Current Period	Current Period (Price)
Lost Price Comp	Baseline /Incremental / Lost	Lost	Price Metrics	Current Period	Current Period (Price)
Lost Price Mkt	Baseline /Incremental / Lost	Lost	Price Metrics	Current Period	Current Period (Price)
Lost Price Prod	Baseline /Incremental / Lost	Lost	Price Metrics	Current Period	Current Period (Price)
Non Promo Price	Promo / Non Promo	Non Promo	Price Metrics	Current Period	Current Period (Price)
Non Promo Price Comp	Promo / Non Promo	Non Promo	Price Metrics	Current Period	Current Period (Price)
Non Promo Price Mkt	Promo / Non Promo	Non Promo	Price Metrics	Current Period	Current Period (Price)
Non Promo Price Prod	Promo / Non Promo	Non Promo	Price Metrics	Current Period	Current Period (Price)
Online Price	Brick & Mortar / Online	Online	Price Metrics	Current Period	Current Period (Price)
Online Price Comp	Brick & Mortar / Online	Online	Price Metrics	Current Period	Current Period (Price)
Online Price Mkt	Brick & Mortar / Online	Online	Price Metrics	Current Period	Current Period (Price)
Online Price Prod	Brick & Mortar / Online	Online	Price Metrics	Current Period	Current Period (Price)
Price	Base Metrics	Price Metrics	Price Metrics	Current Period	Current Period (Price)
Price Comp	Base Metrics	Price Metrics	Price Metrics	Current Period	Current Period (Price)
Price Mkt	Base Metrics	Price Metrics	Price Metrics	Current Period	Current Period (Price)
Price Prod	Base Metrics	Price Metrics	Price Metrics	Current Period	Current Period (Price)
Promo Price	Promo / Non Promo	Promo	Price Metrics	Current Period	Current Period (Price)
Promo Price Comp	Promo / Non Promo	Promo	Price Metrics	Current Period	Current Period (Price)
Promo Price Mkt	Promo / Non Promo	Promo	Price Metrics	Current Period	Current Period (Price)
Promo Price Prod	Promo / Non Promo	Promo	Price Metrics	Current Period	Current Period (Price)
Retail Price	Retail / Grocery	Retail	Price Metrics	Current Period	Current Period (Price)
Retail Price Comp	Retail / Grocery	Retail	Price Metrics	Current Period	Current Period (Price)
Retail Price Mkt	Retail / Grocery	Retail	Price Metrics	Current Period	Current Period (Price)
Retail Price Prod	Retail / Grocery	Retail	Price Metrics	Current Period	Current Period (Price)
Scanout Price	Scanout / Sellin	Scanout	Price Metrics	Current Period	Current Period (Price)
Scanout Price Comp	Scanout / Sellin	Scanout	Price Metrics	Current Period	Current Period (Price)
Scanout Price Mkt	Scanout / Sellin	Scanout	Price Metrics	Current Period	Current Period (Price)
Scanout Price Prod	Scanout / Sellin	Scanout	Price Metrics	Current Period	Current Period (Price)
Sellin Price	Scanout / Sellin	Sellin	Price Metrics	Current Period	Current Period (Price)
Sellin Price Comp	Scanout / Sellin	Sellin	Price Metrics	Current Period	Current Period (Price)
Sellin Price Mkt	Scanout / Sellin	Sellin	Price Metrics	Current Period	Current Period (Price)
Sellin Price Prod	Scanout / Sellin	Sellin	Price Metrics	Current Period	Current Period (Price)
B&M Unit	Brick & Mortar / Online	Brick & Mortar	Unit Metrics	Current Period	Current Period (Unit)
B&M Unit % Mkt Shr	Brick & Mortar / Online	Brick & Mortar	Unit Metrics	Current Period	Current Period (Unit)
B&M Unit Comp	Brick & Mortar / Online	Brick & Mortar	Unit Metrics	Current Period	Current Period (Unit)
B&M Unit Comp Contrib %	Brick & Mortar / Online	Brick & Mortar	Unit Metrics	Current Period	Current Period (Unit)
B&M Unit Contrib %	Brick & Mortar / Online	Brick & Mortar	Unit Metrics	Current Period	Current Period (Unit)
B&M Unit Mkt	Brick & Mortar / Online	Brick & Mortar	Unit Metrics	Current Period	Current Period (Unit)
B&M Unit Mkt Contrib %	Brick & Mortar / Online	Brick & Mortar	Unit Metrics	Current Period	Current Period (Unit)
B&M Unit PI	Brick & Mortar / Online	Brick & Mortar	Unit Metrics	Current Period	Current Period (Unit)
B&M Unit Prod	Brick & Mortar / Online	Brick & Mortar	Unit Metrics	Current Period	Current Period (Unit)
B&M Unit Prod Contrib %	Brick & Mortar / Online	Brick & Mortar	Unit Metrics	Current Period	Current Period (Unit)
Baseline Unit	Baseline /Incremental / Lost	Baseline	Unit Metrics	Current Period	Current Period (Unit)
Baseline Unit % Mkt Shr	Baseline /Incremental / Lost	Baseline	Unit Metrics	Current Period	Current Period (Unit)
Baseline Unit Comp	Baseline /Incremental / Lost	Baseline	Unit Metrics	Current Period	Current Period (Unit)
Baseline Unit Comp Contrib %	Baseline /Incremental / Lost	Baseline	Unit Metrics	Current Period	Current Period (Unit)
Baseline Unit Contrib %	Baseline /Incremental / Lost	Baseline	Unit Metrics	Current Period	Current Period (Unit)
Baseline Unit Mkt	Baseline /Incremental / Lost	Baseline	Unit Metrics	Current Period	Current Period (Unit)
Baseline Unit Mkt Contrib %	Baseline /Incremental / Lost	Baseline	Unit Metrics	Current Period	Current Period (Unit)
Baseline Unit PI	Baseline /Incremental / Lost	Baseline	Unit Metrics	Current Period	Current Period (Unit)
Baseline Unit Prod	Baseline /Incremental / Lost	Baseline	Unit Metrics	Current Period	Current Period (Unit)
Baseline Unit Prod Contrib %	Baseline /Incremental / Lost	Baseline	Unit Metrics	Current Period	Current Period (Unit)
Domestic Unit	Domestic / Export	Domestic	Unit Metrics	Current Period	Current Period (Unit)
Domestic Unit % Mkt Shr	Domestic / Export	Domestic	Unit Metrics	Current Period	Current Period (Unit)
Domestic Unit Comp	Domestic / Export	Domestic	Unit Metrics	Current Period	Current Period (Unit)
Domestic Unit Comp Contrib %	Domestic / Export	Domestic	Unit Metrics	Current Period	Current Period (Unit)
Domestic Unit Contrib %	Domestic / Export	Domestic	Unit Metrics	Current Period	Current Period (Unit)
Domestic Unit Mkt	Domestic / Export	Domestic	Unit Metrics	Current Period	Current Period (Unit)
Domestic Unit Mkt Contrib %	Domestic / Export	Domestic	Unit Metrics	Current Period	Current Period (Unit)
Domestic Unit PI	Domestic / Export	Domestic	Unit Metrics	Current Period	Current Period (Unit)
Domestic Unit Prod	Domestic / Export	Domestic	Unit Metrics	Current Period	Current Period (Unit)
Domestic Unit Prod Contrib %	Domestic / Export	Domestic	Unit Metrics	Current Period	Current Period (Unit)
Export Unit	Domestic / Export	Export	Unit Metrics	Current Period	Current Period (Unit)
Export Unit % Mkt Shr	Domestic / Export	Export	Unit Metrics	Current Period	Current Period (Unit)
Export Unit Comp	Domestic / Export	Export	Unit Metrics	Current Period	Current Period (Unit)
Export Unit Comp Contrib %	Domestic / Export	Export	Unit Metrics	Current Period	Current Period (Unit)
Export Unit Contrib %	Domestic / Export	Export	Unit Metrics	Current Period	Current Period (Unit)
Export Unit Mkt	Domestic / Export	Export	Unit Metrics	Current Period	Current Period (Unit)
Export Unit Mkt Contrib %	Domestic / Export	Export	Unit Metrics	Current Period	Current Period (Unit)
Export Unit PI	Domestic / Export	Export	Unit Metrics	Current Period	Current Period (Unit)
Export Unit Prod	Domestic / Export	Export	Unit Metrics	Current Period	Current Period (Unit)
Export Unit Prod Contrib %	Domestic / Export	Export	Unit Metrics	Current Period	Current Period (Unit)
Grocery Unit	Retail / Grocery	Grocery	Unit Metrics	Current Period	Current Period (Unit)
Grocery Unit % Mkt Shr	Retail / Grocery	Grocery	Unit Metrics	Current Period	Current Period (Unit)
Grocery Unit Comp	Retail / Grocery	Grocery	Unit Metrics	Current Period	Current Period (Unit)
Grocery Unit Comp Contrib %	Retail / Grocery	Grocery	Unit Metrics	Current Period	Current Period (Unit)
Grocery Unit Contrib %	Retail / Grocery	Grocery	Unit Metrics	Current Period	Current Period (Unit)
Grocery Unit Mkt	Retail / Grocery	Grocery	Unit Metrics	Current Period	Current Period (Unit)
Grocery Unit Mkt Contrib %	Retail / Grocery	Grocery	Unit Metrics	Current Period	Current Period (Unit)
Grocery Unit PI	Retail / Grocery	Grocery	Unit Metrics	Current Period	Current Period (Unit)
Grocery Unit Prod	Retail / Grocery	Grocery	Unit Metrics	Current Period	Current Period (Unit)
Grocery Unit Prod Contrib %	Retail / Grocery	Grocery	Unit Metrics	Current Period	Current Period (Unit)
Incremental Unit	Baseline /Incremental / Lost	Incremental	Unit Metrics	Current Period	Current Period (Unit)
Incremental Unit % Mkt Shr	Baseline /Incremental / Lost	Incremental	Unit Metrics	Current Period	Current Period (Unit)
Incremental Unit Comp	Baseline /Incremental / Lost	Incremental	Unit Metrics	Current Period	Current Period (Unit)
Incremental Unit Comp Contrib %	Baseline /Incremental / Lost	Incremental	Unit Metrics	Current Period	Current Period (Unit)
Incremental Unit Contrib %	Baseline /Incremental / Lost	Incremental	Unit Metrics	Current Period	Current Period (Unit)
Incremental Unit Mkt	Baseline /Incremental / Lost	Incremental	Unit Metrics	Current Period	Current Period (Unit)
Incremental Unit Mkt Contrib %	Baseline /Incremental / Lost	Incremental	Unit Metrics	Current Period	Current Period (Unit)
Incremental Unit PI	Baseline /Incremental / Lost	Incremental	Unit Metrics	Current Period	Current Period (Unit)
Incremental Unit Prod	Baseline /Incremental / Lost	Incremental	Unit Metrics	Current Period	Current Period (Unit)
Incremental Unit Prod Contrib %	Baseline /Incremental / Lost	Incremental	Unit Metrics	Current Period	Current Period (Unit)
Lost Unit	Baseline /Incremental / Lost	Lost	Unit Metrics	Current Period	Current Period (Unit)
Lost Unit % Mkt Shr	Baseline /Incremental / Lost	Lost	Unit Metrics	Current Period	Current Period (Unit)
Lost Unit Comp	Baseline /Incremental / Lost	Lost	Unit Metrics	Current Period	Current Period (Unit)
Lost Unit Comp Contrib %	Baseline /Incremental / Lost	Lost	Unit Metrics	Current Period	Current Period (Unit)
Lost Unit Contrib %	Baseline /Incremental / Lost	Lost	Unit Metrics	Current Period	Current Period (Unit)
Lost Unit Mkt	Baseline /Incremental / Lost	Lost	Unit Metrics	Current Period	Current Period (Unit)
Lost Unit Mkt Contrib %	Baseline /Incremental / Lost	Lost	Unit Metrics	Current Period	Current Period (Unit)
